Author,HIndex
Li-zhen Cui,3
W. Bruce Croft,3
Dawei Yin,2
Hamed Zamani,2
Xiangnan He,2
Jiawei Han,2
Jianbing Shen,2
Jiashu Zhao,2
Julian McAuley,2
Ross B. Girshick,2
Jianfeng Gao,2
L. Guibas,2
Xiao Liu,2
Yongfeng Zhang,2
Zhankui He,2
Weixiong Zhang,2
Kun Fu,2
Deng Cai,2
C. Aggarwal,2
Sijie Ruan,2
T. Funkhouser,2
Yangqiu Song,2
Tat-Seng Chua,2
Yong Yu,2
João Carreira,2
Hui Xiong,2
Junbo Zhang,2
Zhi-Hua Zhou,2
Jiarui Qin,2
Alexandros Karatzoglou,2
Michael I. Jordan,2
W. Zhang,2
Mingsheng Long,2
Y. Wu,2
Enhong Chen,2
Richang Hong,2
Ji-rong Wen,2
Jun Xu,2
Shuo Shang,2
David Hafner,1
Longlong Jing,1
Ming Ding,1
Jie Tang,1
Jamie Callan,1
Zonghan Wu,1
Shirui Pan,1
Yongdong Zhang,1
René Ranftl,1
Junxiong Zhu,1
Zhuotao Tian,1
Kaiyuan Li,1
Na Mou,1
Hazel Doughty,1
Yuan Tian,1
Edouard Grave,1
Pranav Khaitan,1
Shuokai Li,1
Sinno Jialin Pan,1
Kede Ma,1
Qibin Hou,1
Bolin Ding,1
Yixin Liu,1
Kyunghyun Cho,1
Çaglar Gülçehre,1
Ming Jin,1
Chuan Zhou,1
A. Menon,1
Jie Gui,1
Fuli Feng,1
Marco Morik,1
Michal Walczak,1
Gang Niu,1
Fumin Shen,1
K. Murphy,1
M. de Vos,1
Yuyuan Tang,1
Y. Yoo,1
Junliang Yu,1
Dmitry Kalenichenko,1
H. Rahmani,1
Joey Tianyi Zhou,1
Xi Xiao,1
Naman Goyal,1
Yujun Yan,1
Xibin Zhao,1
Andrew Zisserman,1
Chao Chen,1
Yuning You,1
Nick Craswell,1
Xinyan Fan,1
Jin Huang,1
Zhiyong Cheng,1
Zihan Zheng,1
H. Kazawa,1
Ziwei Liu,1
Linzhao Wang,1
M. Cord,1
B. Prakash,1
Hao Wang,1
Xiwang Yang,1
Feng Xia,1
Shuyang Zhao,1
Jianmo Ni,1
Tiago Ramalho,1
Kwok-Fung Tang,1
Shijun Li,1
Xiaodong He,1
Haifeng Zhao,1
Jiaqi Ma,1
Hao Su,1
B. Yang,1
Yixiang Fang,1
Catalin Ionescu,1
Shiyu Chang,1
Junsong Yuan,1
Yuchao Dai,1
Hui Liang,1
Zhendong Mao,1
Tegan Maharaj,1
I. Stoica,1
Xuan Wang,1
B. Ooi,1
Ankur Dave,1
Wen-tau Yih,1
Sean MacAvaney,1
Hsiang-Fu Yu,1
Haochuan Sun,1
Guoxiao Zhang,1
B. Benatallah,1
Fajie Yuan,1
Xin Xin,1
Hao Jia,1
J. Guo,1
D. Gleich,1
Vikas Verma,1
Christian Janvin,1
Zhezhao Xu,1
Quanfu Fan,1
D. Nguyen,1
L. Itti,1
Tian Xia,1
Jianxin Ma,1
Zhangyang Wang,1
H. Dodge,1
Lee,1
Weibo Gao,1
Min Du,1
Michael R. Lyu,1
Jonathan Ho,1
Jean-Philippe Vert,1
Stefano Rosa,1
A. Blake,1
Jingshuai Zhang,1
Wenqi Fan,1
Zizhao Dong,1
Xinyu Ma,1
Kaiming He,1
Haoqi Fan,1
Christian Szegedy,1
Stephan Günnemann,1
Tianlong Chen,1
Bowen Liu,1
Yanghao Li,1
Dimitris Tsipras,1
Chen Change Loy,1
Ronak Kosti,1
Bailin Deng,1
Chuan-Xian Ren,1
D. Shuman,1
Xuanrong Yao,1
Kai Shu,1
Congyin Xia,1
Huawei Shen,1
Sheikh Muhammad Sarwar,1
Eugene Agichtein,1
F. Javed,1
Chao Huang,1
Peng Dai,1
Kun Zhou,1
Dongmei Zhang,1
Lecheng Zheng,1
Tao Qin,1
Junming Shao,1
Shuqing Bian,1
Huaxiu Yao,1
C. Wang,1
Can Liu,1
L'ea Briand,1
Zhewei Wei,1
Zhihua Zhu,1
Dingqi Yang,1
Huan Liu,1
Fei Wang,1
Le Dai,1
Xifeng Yan,1
Alvin Wan,1
Xiuqiang He,1
Wayne Xin Zhao,1
Jimmy J. Lin,1
Fernando Diaz,1
Qiang Yang,1
Yanjie Fu,1
Minghui Qiu,1
Chen Gao,1
Yaliang Li,1
Zihao Ye,1
Shu Wu,1
Jun Ma,1
Lucas Vinh Tran,1
Ziwei Zhu,1
A. D. Vries,1
Raoul de Charette,1
Min Sun,1
Hanxiao Liu,1
Jia Li,1
Du Tran,1
Alexandre Sablayrolles,1
Guoliang Kang,1
Zhi Yu,1
Masashi Sugiyama,1
Guoshuai Zhao,1
Xiuwen Yi,1
Xinzhong Zhu,1
Jiangnan Xia,1
Sihang Zhou,1
Lizong Zhang,1
Xiaojun Chen,1
Dan Zhao,1
Dong Xie,1
Guillaume Raille,1
Gaël Grosch,1
Bharath K. Sriperumbudur,1
Liang Jiang,1
Jiwei Li,1
E. Xing,1
Federico Monti,1
Miao Zhao,1
Matthias De Lange,1
Ishan Misra,1
Lu Qin,1
M. Ouzzani,1
Feifei Li,1
Chunyang Liu,1
Yudian Zheng,1
Eamonn J. Keogh,1
M. Hebert,1
Gregory Shakhnarovich,1
J. Carbonell,1
Guangzhong Sun,1
