ConferenceName,Top3Papers,Citations
"AAAI/ACM Conference on AI, Ethics, and Society",['DistillandCompare Auditing BlackBox Models Using Transparent Model Distillation'],[0]
ACM Asia Conference on Computer and Communications Security,['You Are Your Photographs Detecting Multiple Identities of Vendors in the Darknet Marketplaces'],[0]
ACM Conference on Recommender Systems,"['Parallel Recurrent Neural Network Architectures for Featurerich Sessionbased Recommendations', 'Unbiased Implicit Recommendation and Propensity Estimation via Combinational Joint Learning', 'BETARec Build Evaluate and Tune Automated Recommender Systems']","[3, 3, 2]"
ACM International Conference on Embedded Networked Sensor Systems,"['CloudEnabled PrivacyPreserving Truth Discovery in Crowd Sensing Systems', 'TailorFL DualPersonalized Federated Learning under System and Data Heterogeneity']","[0, 0]"
ACM Multimedia,"['Caffe Convolutional Architecture for Fast Feature Embedding', 'Largescale visual sentiment ontology and detectors using adjective noun pairs', 'A Simple Baseline for Pose Tracking in Videos of Crowed Scenes']","[5, 2, 1]"
ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,['Differentiable PointBased Radiance Fields for Efficient View Synthesis'],[0]
ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,['Semantic trajectory mining for location prediction'],[1]
ACM-SIAM Symposium on Discrete Algorithms,['Algorithms for distributed functional monitoring'],[0]
ACM/IEEE International Conference on Mobile Computing and Networking,"['LegoDNN blockgrained scaling of deep neural networks for mobile vision', 'Jigsaw indoor floor plan reconstruction via mobile crowdsensing']","[0, 0]"
ACM/IEEE Joint Conference on Digital Libraries,['EntityAspect Linking Providing FineGrained Semantics of Entities in Context'],[0]
ACM/SIGCOMM Internet Measurement Conference,"['Opprentice Towards Practical and Automatic Anomaly Detection Through Machine Learning', 'The Doppelgänger Bot Attack Exploring Identity Impersonation in Online Social Networks']","[1, 0]"
ASIS&T Annual Meeting,['Extracting the Implicit Search States from Explicit Behavioral Signals in Complex Search Tasks'],[0]
Advanced Video and Signal Based Surveillance,"['CNNBased cascaded multitask learning of highlevel prior and density estimation for crowd counting', 'UADETRAC 2017 Report of AVSS2017  IWT4S Challenge on Advanced Traffic Monitoring', 'UADETRAC 2018 Report of AVSS2018  IWT4S Challenge on Advanced Traffic Monitoring']","[0, 0, 0]"
"Allerton Conference on Communication, Control, and Computing",['Stochastic optimization for deep CCA via nonlinear orthogonal iterations'],[0]
"Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks",['Passenger Demand Prediction with Cellular Footprints'],[1]
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,"['Deeper Text Understanding for IR with Contextual Neural Language Modeling', 'Causal Intervention for Leveraging Popularity Bias in Recommendation', 'Warm Up Coldstart Advertisements Improving CTR Predictions via Learning to Learn ID Embeddings']","[27, 25, 15]"
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"['Coronary Artery Vascular Segmentation on Limited Data via PseudoPrecise Label', 'UENet A Novel Generative Adversarial Network for Angiography Image Segmentation']","[0, 0]"
Annual Meeting of the Association for Computational Linguistics,['Training Classifiers with Natural Language Explanations'],[0]
Asia-Pacific Computer Systems Architecture Conference,['dStyleGAN Generative Adversarial Network based on Writing and Photography Styles for Drug Identification in Darknet Markets'],[0]
"Asilomar Conference on Signals, Systems and Computers","['Bayesian Optimization for Task Offloading and Resource Allocation in Mobile Edge Computing', 'Identifying Dependent Annotators in Crowdsourcing']","[0, 0]"
BigData Congress [Services Society],"['A Robust Classifier under MissingNotatRandom Sample Selection Bias', 'Temporal Treasure Hunt Contentbased Time Series Retrieval System for Discovering Insights', 'Time Series Synthesis Using the Matrix Profile for Anonymization']","[0, 0, 0]"
Computer Vision and Pattern Recognition,"['ScanNet RichlyAnnotated 3D Reconstructions of Indoor Scenes', 'Multiview 3D Object Detection Network for Autonomous Driving', 'Realtime human pose recognition in parts from single depth images']","[5, 4, 4]"
"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","['Forwarding metamorphosis fast programmable matchaction processing in hardware for SDN', 'RFbased 3D skeletons']","[1, 0]"
Conference on Computer and Communications Security,"['The Honey Badger of BFT Protocols', 'Provable data possession at untrusted stores', 'Practical BackwardSecure Searchable Encryption from Symmetric Puncturable Encryption']","[1, 1, 1]"
Conference on Data and Application Security and Privacy,['DetAnom Detecting Anomalous Database Transactions by Insiders'],[0]
Conference on Human Information Interaction and Retrieval,"['Redesigning a Document Viewer for Legal Documents', 'Augmentation of Human Memory Anticipating Topics that Continue in the Next Meeting', 'Conversations with Documents An Exploration of DocumentCentered Assistance']","[1, 1, 1]"
Data Compression Conference,['Enhanced Intra Prediction with Recurrent Neural Network in Video Coding'],[0]
